{
{   0,   0,   0,   0,   0,   0,   4,   0,   0,   0,   0,   0,   6,   0,   0,   13 },
{   0,   0,   0,   8,   0,   0,   0,  15,  13,   1,   4,  16,   0,   0,   0,   14 },
{   0,   0,   2,  14,   0,  16,   0,  11,   0,   0,   5,   0,   9,   3,   0,    0 },
{   0,   1,   0,   0,   9,  10,   0,   0,   0,   0,  11,   0,   0,   2,  16,    0 },
{  10,  14,   0,   0,   4,   0,   0,   0,   0,   7,   0,   1,   0,   0,   0,   16 },
{   0,   0,   0,  15,   0,   0,   0,  10,  12,  16,   0,   0,   0,   1,   4,    0 },
{   8,   0,   0,   1,   0,   0,  13,   0,   0,   0,   0,   0,   0,   0,   0,    6 },
{   0,   0,   9,   0,   1,   0,  16,   0,   0,   0,  15,  14,   0,   5,   0,    0 },
{   0,   0,   3,  16,   0,   4,   0,   0,   0,   0,   0,   7,   0,   0,   6,    0 },
{   6,   5,   8,   0,   3,   0,  15,   0,  14,   0,  12,   0,   0,   0,   0,    0 },
{  11,  13,   0,  10,   7,   0,   0,   0,  15,   0,   0,   0,   5,   0,   1,    0 },
{  15,   0,   7,  12,   0,  11,   0,  14,   0,   0,  13,   0,   0,   0,   0,    0 },
{   0,   0,   0,   0,   0,  12,   0,   0,   0,   0,   0,  15,   0,   0,   8,    0 },
{   9,   0,   0,   5,   0,   7,  11,   6,   0,   0,   0,  10,   0,  16,  15,    0 },
{   0,  15,   0,   0,   0,   0,   0,   0,   0,   0,  14,   0,   0,  10,  13,    9 },
{  13,   0,  10,   0,   0,   8,  14,   0,  16,   0,   0,  12,   0,   0,  11,    0 },
}
