{
{   0,   0,  12,   0,   2,   1,  16,   7,   8,   0,   0,  11,   0,   9,  14,    0 },
{   0,   0,   0,   0,   0,   0,   8,   0,   0,   0,   0,  12,   3,   0,   0,    0 },
{   4,   0,   0,   5,  14,   0,   0,   9,   3,   0,  16,   0,   0,   0,   0,    0 },
{   1,  16,   8,  13,   0,   0,   0,   0,   9,   7,  15,   0,   0,   0,   0,    0 },
{   0,   0,   0,   7,  13,   0,   0,   0,   0,  14,   0,   0,   6,   0,   2,    0 },
{  13,   0,   0,   0,   0,   0,   0,  15,  11,   0,   8,  10,   0,   0,   0,   11 },
{   0,   0,  16,   9,   0,   0,  10,   0,   0,  12,   0,   0,  14,   0,  15,    0 },
{   0,   0,   0,  15,   3,   2,   0,   0,   0,   0,   0,  13,  10,   7,   0,    0 },
{   0,   4,   0,   0,   6,   7,   0,   1,   0,   0,   0,   0,  13,  16,   0,    0 },
{  12,   0,   0,   0,   0,  15,   3,  16,   0,   0,   0,   0,   0,   0,   0,    0 },
{   3,   0,   0,   0,   0,   0,   0,  12,  16,   0,   0,   0,   0,  15,   0,    4 },
{  14,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,   7,   0,   8,   0,    0 },
{   0,   8,   7,   0,  15,   6,   0,   0,   4,   0,   0,   0,   0,   0,  16,    0 },
{   0,   6,   0,   0,   0,  11,   0,   0,  14,  10,   0,   0,   4,   0,   5,    0 },
{   9,   0,  11,   0,   0,   0,   0,   8,   1,   0,   0,   0,   0,   0,   3,    0 },
{   0,   0,  13,   0,  16,  12,   9,   0,   5,  11,   0,   0,  15,   0,   1,    6 },
}
